Type of Repo,Repo Name,Repo GiniIndex,File GiniIndex,Class GiniIndex,Method GiniIndex,File GiniIndex Info,File GiniIndex Error,File GiniIndex Warning,File GiniIndex Debug,File GiniIndex Trace,File GiniIndex Fatal,Class GiniIndex Info,Class GiniIndex Error,Class GiniIndex Warning,Class GiniIndex Debug,Class GiniIndex Trace,Class GiniIndex Fatal,Method GiniIndex Info,Method GiniIndex Error,Method GiniIndex Warning,Method GiniIndex Debug,Method GiniIndex Trace,Method GiniIndex Fatal
DataScience,pyvarinf,0.799999988,0.799999987,0.799999988,0.799999988,0.799999988,,,,,,,,,,,,0.799999988,,,,,
DataScience,style-transfer,0.799999968,0.666666667,0.666666667,0.666666667,0.666666667,,,,,,0.666666667,,,,,,0.666666652,,,,,
DataScience,Seq2Seq-Vis,0.52,0.615805488,0.654545449,0.739857872,0.652892562,0.909090882,0.909090882,,,,0.727272761,,0.909090882,,,,0.58008659,,0.909090882,,,
DataScience,neural-style,0.799999988,,,,,,,,,,,,,,,,,,,,,
DataScience,machine_learning_examples,0.791825597,0.531690232,0.813182538,0.701359852,0.529921282,,,,,,0.87915346,,,,,,0.820093636,,,,,
DataScience,Machine-Learning-API-Tutorial,0.774999988,0.716848008,,0.776280357,0.685714308,,,,,,,,,,,,0.714285714,,,,,
DataScience,wikipedia-question-generator,,,,,,,,,,,,,,,,,,,,,,
DataScience,DeepLearn,0.790697639,0.674006804,0.849350593,0.640790044,0.640151515,0.974999985,,,,,0.953571445,,,,,,0.724999987,0.974999985,,,,
DataScience,caffe-with-spearmint,0.678260884,0.57063634,0.799999988,0.595348818,0.608695665,,,,,,0.799999988,,,,,,0.690909076,,,,,
DataScience,pu-learning,0.79999999,0.586359301,,0.75,0.682432432,,,,,,,,,,,,,,,,,
DataScience,platoon,0.796330303,0.721067907,0.730323199,0.814727983,0.681520285,,,,,,0.778077297,,,,,,0.729437245,,,,,
DataScience,ignite,0.605405385,0.926183024,0.940353764,0.907182731,0.898581202,,,,0.989071065,,0.973963319,,,,,,0.915983588,,,,0.989071065,
DataScience,Fast-RCNN,0.71111113,0.640967423,0.638888889,0.65909092,0.638888889,,,,,,0.6875,,,,,,0.625,,,,,
DataScience,FaceDetection_CNN,0.66666664,0,,0,0,,,,,,,,,,,,,,,,,
DataScience,pytorch_geometric,0.738686142,0.945291734,0.92498734,0.947899314,0.909669278,,0.992211869,,,,0.973171109,,0.992211869,,,,0.97663554,,0.992211869,,,
DataScience,ssd_tensorflow_traffic_sign_detection,0.80000001,0.605857341,,0.648148148,0.611111111,0.833333308,,,,,,,,,,,0.708333312,0.833333308,,,,
DataScience,darkon,0.69999999,0.927944807,0.911764702,0.930946277,0.911764702,,,,,,0.911764702,,,,,,0.911764702,,,,,
DataScience,BitcoinForecast,0.713043493,0.393603926,,0.426666659,0.561403495,,,,,,,,,,,,0.333333333,,,,,
DataScience,audit-ai,0.799999983,0.889661827,0.947368414,0.899749441,0.870813402,,,,,,,,,,,,0.929824598,,,,,
DataScience,deep-text-classifier-mtl,0.778947378,0.640217839,0.8,0.799999983,0.610526323,,,,,,0.8,,,,,,0.8,,,,,
DataScience,doccano,0.778947378,0.893964836,0.889270717,0.910016913,0.862880886,,,,,,0.878947337,,,,,,0.878947337,,,,,
DataScience,nlp,0.734814815,0.495338495,,0.736168267,0.63492066,,,,,,,,,,,,0.838518533,,,,,
DataScience,cnn-assignments,0.799999968,0.846192345,0.936842102,0.832969981,0.802631611,,,,,,0.917293245,,,,,,0.862478791,,,,,
DataScience,MobileNetworks,0.800000013,0.589338027,0.888888882,0.822553875,0.666666645,,,,,,,,,,,,0.888888874,,,,,
DataScience,theano_alexnet,0.78974357,0.399731639,0.807692339,0.640334359,0.457894743,,,,,,0.866666632,,,,,,0.461290337,,,,,
DataScience,deep-learning-models,0.799999988,0.451526306,0.888888862,0.525876872,0.358974366,,,,,,,,,,,,,,,,,
DataScience,deepchem,0.761187228,0.781254928,0.934156502,0.940352246,0.784112925,,0.997916615,,,,0.963405817,,0.997916615,,,,0.929554123,,0.997916615,,,
DataScience,machineJS,0.599999991,0.95671006,,0.909340634,0.910714245,,,,,,,,,,,,,,,,,
DataScience,BERT-keras,0.69999999,0.812452836,0.871212102,0.864829378,0.77083331,,,,,,0.916666639,,,,,,0.85000002,,,,,
DataScience,tensorflow-deeplab-v3-plus,0.618181805,0.654186761,,0.651724114,0.645454531,,,,,,,,,,,,0.733333304,,,,,
DataScience,tensorflow_examples,0.778181818,0.572611378,,0.774193605,0.428912782,,,,,,,,,,,,0.838709702,,,,,
DataScience,ml-glossary,0.799999986,0.7811809,0.856617647,0.780946566,0.8125,,,,,,0.878289474,,,,,,0.84375,,,,,
DataScience,eo-learn,0.505263158,0.805658078,0.795196208,0.875009809,0.76505206,,,,0.989361733,,0.952611211,,,,0.989361733,,0.936170215,,,,0.989361733,
DataScience,pdnn,0.679569879,0.776242794,0.906976765,0.917800295,0.805232576,0.930555556,,,,,0.903645806,0.965277778,,,,,0.890931398,0.965277778,,,,
DataScience,Pweave,0.555932194,0.823008909,0.83072371,0.774049028,0.822916667,0.895833333,0.96875,,,,0.823401163,0.888392857,0.96875,,,,0.76625,0.895833333,0.96875,,,
